,deu,fra,it,spa,total
claude-3-opus,0.83/0.76/0.5,0.89/0.86/0.91,0.88/0.83/0.75,0.94/0.68/0.8,0.88/0.79/0.79
claude-3.5-haiku,0.78/0.66/0.5,0.86/0.85/0.74,0.86/0.78/0.75,0.89/0.63/0.61,0.84/0.73/0.7
claude-3.5-sonnet,0.88/0.87/1.0,0.88/0.87/1.0,0.9/0.86/0.78,0.92/0.66/0.78,0.89/0.82/0.82
gemini-1.5-flash,0.72/0.56/0.0,0.81/0.79/0.83,0.82/0.74/0.82,0.88/0.72/0.67,0.8/0.69/0.76
gemini-1.5-pro,0.81/0.75/1.0,0.89/0.86/0.91,0.9/0.8/0.85,0.92/0.61/0.73,0.87/0.76/0.82
gpt-3.5-turbo,0.76/0.07/0.5,0.82/0.19/0.83,0.62/0.46/0.54,0.89/0.6/0.67,0.78/0.3/0.63
gpt-4,0.73/0.016/0.0,0.86/0.0059/0.83,0.83/0.0/0.74,0.86/0.0/0.59,0.81/0.0064/0.69
gpt-4-turbo,0.8/0.26/1.0,0.89/0.26/0.87,0.86/0.66/0.78,0.86/0.36/0.57,0.85/0.36/0.73
gpt-4o,0.84/0.71/1.0,0.86/0.81/0.83,0.88/0.83/0.82,0.92/0.62/0.73,0.87/0.74/0.79
gpt-4o-mini,0.7/0.63/0.5,0.85/0.73/0.87,0.85/0.75/0.82,0.9/0.6/0.65,0.82/0.67/0.76
total,0.79/0.53/0.6,0.86/0.62/0.86,0.84/0.67/0.76,0.9/0.55/0.68,
