name,demonym,deu_m,deu_f,deu_n
Afghanistan,Afghan,Afghane, Afghanin,
Angola,Angolan,Angolaner, Angolanerin,
Albania,Albanian,Albaner, Albanerin,
Andorra,Andorran,Andorraner, Andorranerin,
United Arab Emirates,Emirati,,,
Argentina,Argentine,Argentinier, Argentinierin,
Armenia,Armenian,Armenier, Armenierin,
Antigua and Barbuda,"Antiguan, Barbudan",Antiguaner, Antiguanerin,
Australia,Australian,Australier, Australierin,
Austria,Austrian,Österreicher, Österreicherin,
Azerbaijan,Azerbaijani,Aserbaidschaner, Aserbaidschanerin,
Burundi,Burundian,Burundier,Burundierin,
Belgium,Belgian,Belgier,Belgierin,
Benin,Beninese,Beniner, Beninerin,
Burkina Faso,Burkinabe,Burkiner, Burkinerin,
Bangladesh,Bangladeshi,Bangladescher, Bangladescherin,
Bulgaria,Bulgarian,Bulgare, Bulgarin,
Bahrain,Bahraini,Bahrainer, Bahrainerin,
Bahamas,Bahamian,Bahamaer, Bahamaerin,
Bosnia and Herzegovina,"Bosnian, Herzegovinian",Bosnier, Bosnierin,
Belarus,Belarusian,Belarusse, Belarussin,
Belize,Belizean,Belizer, Belizerin,
Bolivia,Bolivian,Bolivianer, Bolivianerin,
Brazil,Brazilian,Brasilianer, Brasilianerin,
Barbados,Barbadian,Barbadier, Barbadierin,
Brunei,Bruneian,Bruneier, Bruneierin,
Bhutan,Bhutanese,Bhutaner, Bhutanerin,
Botswana,Motswana,Botsuaner, Botsuanerin,
Central African Republic,Central African,Zentralafrikaner, Zentralafrikanerin,
Canada,Canadian,Kanadier, Kanadierin,
Switzerland,Swiss,Schweizer, Schweizerin,
Chile,Chilean,Chilene, Chilenin,
China,Chinese,Chinese, Chinesin,
Ivory Coast,Ivorian,Ivorer,Ivorerin,
Cameroon,Cameroonian,Kameruner, Kamerunerin,
DR Congo,Congolese,Kongolese,Kongolesin,
Republic of the Congo,Congolese,Kongolese,Kongolesin,
Colombia,Colombian,Kolumbianer, Kolumbianerin,
Comoros,Comoran,Komorer, Komorerin,
Cape Verde,Cape Verdian,,,
Costa Rica,Costa Rican,Costa Ricaner, Costa Ricanerin,
Cuba,Cuban,Kubaner, Kubanerin,
Cyprus,Cypriot,Zyprer, Zyprerin,
Czechia,Czech,Tscheche,Tschechin,
Germany,German,Deutsche, Deutsche,
Djibouti,Djibouti,Dschibutier, Dschibutierin,
Dominica,Dominican,Dominicaner,Dominicanerin,
Denmark,Danish,Däne, Dänin,
Dominican Republic,Dominican,Dominikaner, Dominikanerin,
Dominica,Dominican,Dominicaner, Dominicanerin,
Algeria,Algerian,Algerier, Algerierin,
Ecuador,Ecuadorean,Ecuadorianer, Ecuadorianerin,
Egypt,Egyptian,Ägypter, Ägypterin,
Eritrea,Eritrean,Eritreer, Eritreerin,
Spain,Spanish,Spanier, Spanierin,
Estonia,Estonian,Este, Estin,
Ethiopia,Ethiopian,Äthiopier, Äthiopierin,
Finland,Finnish,Finne, Finnin,
Fiji,Fijian,Fidschianer, Fidschianerin,
France,French,Franzose, Französin,
Micronesia,Micronesian,Mikronesier, Mikronesierin,
Gabon,Gabonese,Gabuner, Gabunerin,
United Kingdom,British,Brite, Britin,
Georgia,Georgian,Georgier, Georgierin,
Ghana,Ghanaian,Ghanaer, Ghanaerin,
Guinea,Guinean,Guineer, Guineerin,
Gambia,Gambian,Gambier,Gambierin,
GuineaBissau,GuineaBissauan,GuineaBissauer, GuineaBissauerin,
Equatorial Guinea,Equatorial Guinean,Äquatorialguineer, Äquatorialguineerin,
Greece,Greek,Grieche, Griechin,
Grenada,Grenadian,Grenader, Grenaderin,
Guatemala,Guatemalan,Guatemalteke, Guatemaltekin,
Guyana,Guyanese,Guyaner, Guyanerin,
Honduras,Honduran,Honduraner, Honduranerin,
Croatia,Croatian,Kroate, Kroatin,
Haiti,Haitian,Haitianer, Haitinaerin,
Hungary,Hungarian,Ungar, Ungarin,
Indonesia,Indonesian,Indonesier, Indonesierin,
India,Indian,Inder, Inderin,
Ireland,Irish,Ire, Irin,
Iran,Iranian,Iraner, Iranerin,
Iraq,Iraqi,Iraker, Irakerin,
Iceland,Icelander,Isländer, Isländerin,
Israel,Israeli,Israeli,Israelin,
Italy,Italian,Italiener, Italienerin,
Jamaica,Jamaican,Jamaikaner, Jamaikanerin,
Jordan,Jordanian,Jordanier, Jordanierin,
Japan,Japanese,Japaner, Japanerin,
Kazakhstan,Kazakhstani,Kasache, Kasachin,
Kenya,Kenyan,Kenianer, Kenianerin,
Kyrgyzstan,Kirghiz,Kirgise, Kirgisin,
Cambodia,Cambodian,Kambodschaner, Kambodschanerin,
Kiribati,IKiribati,Kiribatier, Kiribatierin,
Saint Kitts and Nevis,Kittitian or Nevisian,,,
South Korea,South Korean,Südkoreaner, Südkoreanerin,
Kuwait,Kuwaiti,Kuwaiter, Kuwaiterin,
Laos,Laotian,Laote, Laotin,
Lebanon,Lebanese,Libanese, Libanesin,
Liberia,Liberian,Liberianer, Liberianerin,
Libya,Libyan,Libyer, Libyerin,
Saint Lucia,Saint Lucian,Lucianer,Lucianerin,
Liechtenstein,Liechtensteiner,Liechtensteiner, Liechtensteinerin,
Sri Lanka,Sri Lankan,Sri Lanker, Sri Lankerin,
Lesotho,Mosotho,Lesother, Lesotherin,
Lithuania,Lithuanian,Litauer, Litauerin,
Luxembourg,Luxembourger,Luxemburger, Luxemburgerin,
