name,spa_m,spa_f,spa_f
Afghanistan,afgano,afgana,afgana
Albania,albanés,albanésa,albanésa
Algeria,argelino,argelina,argelina
Andorra,andorrano,andorrana,andorrana
Angola,angoleño,angoleña,angoleña
Antigua and Barbuda,antiguano,antiguana,antiguana
Argentina,argentino,argentina,argentina
Armenia,armenio,armenia,armenia
Australia,australiano,australiana,australiana
Austria,austriaco,austriaca,austriaca
Azerbaijan,azerbaiyano,azerbaiyana,azerbaiyana
Bahamas,bahameño,bahameña,bahameña
Bahrain,,,
Bangladesh,,,
Barbados,,,
Belarus,bielorruso,bielorrusa,bielorrusa
Belgium,,,
Belize,beliceño,beliceña,beliceña
Benin,beninés,beninésa,beninésa
Bhutan,butanés,butanésa,butanésa
"Bolivia, Plurinational State of",boliviano,boliviana,boliviana
Bosnia and Herzegovina,bosnioherzegovino,bosnioherzegovina,bosnioherzegovina
Botswana,botsuano,botsuana,botsuana
Brazil,brasileño,brasileña,brasileña
Brunei,bruneano,bruneana,bruneana
Bulgaria,búlgaro,búlgara,búlgara
Burkina Faso,burkinés,burkinésa,burkinésa
Burma/Myanmar,,,
Burundi,burundés,burundésa,burundésa
Cabo Verde,caboverdiano,caboverdiana,caboverdiana
Cambodia,camboyano,camboyana,camboyana
Cameroon,camerunés,camerunésa,camerunésa
Canada,,,
Central African Republic,centroafricano,centroafricana,centroafricana
Chad,chadiano,chadiana,chadiana
Chile,chileno,chilena,chilena
China,chino,china,china
Colombia,colombiano,colombiana,colombiana
Comoros,,,
Congo,congoleño,congoleña,congoleña
Costa Rica,,,
Côte d'Ivoire,costamarfileño,costamarfileña,costamarfileña
Croatia,,,
Cuba,cubano,cubana,cubana
Cyprus,,,
Czech Republic,checo,checa,checa
Denmark,danés,danésa,danésa
Djibouti,Yibutiano,Yibutiana,Yibutiana
Dominican Republic,dominicano,dominicana,dominicana
Dominican Republic,dominiqués,dominiquésa,dominiquésa
Ecuador,ecuatoriano,ecuatoriana,ecuatoriana
Egypt,egipcio,egipcia,egipcia
El Salvador,salvadoreño,salvadorena,salvadorena
England,inglés,inglésa,inglésa
Equatorial Guinea,ecuatoguineano,ecuatoguineana,ecuatoguineana
Eritrea,eritreo,eritra,eritra
Estonia,estonio,estona,estona
Eswatini,,,
Ethiopia,,,
Falkland Islands,,,
Faroe Islands,feroés,feroésa,feroésa
Federated States of Micronesia,micronesio,micronesia,micronesia
Fiji,fiyiano,fiyiana,fiyiana
Finland,finlandés,finlandésa,finlandésa
France,francés,francésa,francésa
Gabon,gabonés,gabonésa,gabonésa
Georgia,georgiano,georgiana,georgiana
Germany,alemán,,
Ghana,ghanés,ghanésa,ghanésa
Granada,granadino,granadina,granadina
Great Britain,británico,británica,británica
Greece,griego,griega,griega
Greenland,groenlandés,groenlandésa,groenlandésa
Guatemala,guatemalteco,guatemalteca,guatemalteca
Guinea,guineano,guineana,guineana
Guinea-Bissau,,,
Guyana,guyanés,guyanésa,guyanésa
Haiti,haitiano,haitiana,haitiana
Honduras,hondureño,hondureña,hondureña
