,name,demonym
1,Afghanistan,Afghan
2,Angola,Angolan
5,Albania,Albanian
6,Andorra,Andorran
7,United Arab Emirates,Emirati
8,Argentina,Argentine
9,Armenia,Armenian
13,Antigua and Barbuda,"Antiguan, Barbudan"
14,Australia,Australian
15,Austria,Austrian
16,Azerbaijan,Azerbaijani
17,Burundi,Burundian
18,Belgium,Belgian
19,Benin,Beninese
20,Burkina Faso,Burkinabe
21,Bangladesh,Bangladeshi
22,Bulgaria,Bulgarian
23,Bahrain,Bahraini
24,Bahamas,Bahamian
25,Bosnia and Herzegovina,"Bosnian, Herzegovinian"
28,Belarus,Belarusian
29,Belize,Belizean
31,Bolivia,Bolivian
33,Brazil,Brazilian
34,Barbados,Barbadian
35,Brunei,Bruneian
36,Bhutan,Bhutanese
38,Botswana,Motswana
39,Central African Republic,Central African
40,Canada,Canadian
42,Switzerland,Swiss
43,Chile,Chilean
44,China,Chinese
45,Ivory Coast,Ivorian
46,Cameroon,Cameroonian
47,DR Congo,Congolese
48,Republic of the Congo,Congolese
50,Colombia,Colombian
51,Comoros,Comoran
52,Cape Verde,Cape Verdian
53,Costa Rica,Costa Rican
54,Cuba,Cuban
58,Cyprus,Cypriot
59,Czechia,Czech
60,Germany,German
61,Djibouti,Djibouti
62,Dominica,Dominican
63,Denmark,Danish
64,Dominican Republic,Dominican
65,Algeria,Algerian
66,Ecuador,Ecuadorean
67,Egypt,Egyptian
68,Eritrea,Eritrean
70,Spain,Spanish
71,Estonia,Estonian
72,Ethiopia,Ethiopian
73,Finland,Finnish
74,Fiji,Fijian
76,France,French
78,Micronesia,Micronesian
79,Gabon,Gabonese
80,United Kingdom,British
81,Georgia,Georgian
83,Ghana,Ghanaian
85,Guinea,Guinean
87,Gambia,Gambian
88,Guinea-Bissau,Guinea-Bissauan
89,Equatorial Guinea,Equatorial Guinean
90,Greece,Greek
91,Grenada,Grenadian
93,Guatemala,Guatemalan
96,Guyana,Guyanese
99,Honduras,Honduran
100,Croatia,Croatian
101,Haiti,Haitian
102,Hungary,Hungarian
103,Indonesia,Indonesian
105,India,Indian
107,Ireland,Irish
108,Iran,Iranian
109,Iraq,Iraqi
110,Iceland,Icelander
111,Israel,Israeli
112,Italy,Italian
113,Jamaica,Jamaican
115,Jordan,Jordanian
116,Japan,Japanese
117,Kazakhstan,Kazakhstani
118,Kenya,Kenyan
119,Kyrgyzstan,Kirghiz
120,Cambodia,Cambodian
121,Kiribati,I-Kiribati
122,Saint Kitts and Nevis,Kittitian or Nevisian
123,South Korea,South Korean
125,Kuwait,Kuwaiti
126,Laos,Laotian
127,Lebanon,Lebanese
128,Liberia,Liberian
129,Libya,Libyan
130,Saint Lucia,Saint Lucian
131,Liechtenstein,Liechtensteiner
132,Sri Lanka,Sri Lankan
133,Lesotho,Mosotho
134,Lithuania,Lithuanian
135,Luxembourg,Luxembourger
136,Latvia,Latvian
139,Morocco,Moroccan
140,Monaco,Monegasque
141,Moldova,Moldovan
142,Madagascar,Malagasy
143,Maldives,Maldivan
144,Mexico,Mexican
145,Marshall Islands,Marshallese
146,North Macedonia,Macedonian
147,Mali,Malian
148,Malta,Maltese
149,Myanmar,Burmese
150,Montenegro,Montenegrin
151,Mongolia,Mongolian
153,Mozambique,Mozambican
154,Mauritania,Mauritanian
157,Mauritius,Mauritian
158,Malawi,Malawian
159,Malaysia,Malaysian
161,Namibia,Namibian
163,Niger,Nigerien
165,Nigeria,Nigerian
166,Nicaragua,Nicaraguan
168,Netherlands,Dutch
169,Norway,Norwegian
170,Nepal,Nepalese
171,Nauru,Nauruan
172,New Zealand,New Zealander
173,Oman,Omani
174,Pakistan,Pakistani
175,Panama,Panamanian
177,Peru,Peruvian
178,Philippines,Filipino
179,Palau,Palauan
180,Papua New Guinea,Papua New Guinean
181,Poland,Polish
183,North Korea,North Korean
184,Portugal,Portuguese
185,Paraguay,Paraguayan
188,Qatar,Qatari
190,Romania,Romanian
191,Russia,Russian
192,Rwanda,Rwandan
193,Saudi Arabia,Saudi Arabian
194,Sudan,Sudanese
195,Senegal,Senegalese
196,Singapore,Singaporean
199,Solomon Islands,Solomon Islander
200,Sierra Leone,Sierra Leonean
201,El Salvador,Salvadoran
202,San Marino,Sammarinese
203,Somalia,Somali
205,Serbia,Serbian
206,South Sudan,South Sudanese
207,São Tomé and Príncipe,Sao Tomean
208,Suriname,Surinamer
209,Slovakia,Slovak
210,Slovenia,Slovene
211,Sweden,Swedish
212,Eswatini,Swazi
214,Seychelles,Seychellois
215,Syria,Syrian
217,Chad,Chadian
218,Togo,Togolese
219,Thailand,Thai
220,Tajikistan,Tadzhik
222,Turkmenistan,Turkmen
223,Timor-Leste,East Timorese
224,Tonga,Tongan
225,Trinidad and Tobago,Trinidadian
226,Tunisia,Tunisian
227,Türkiye,Turkish
228,Tuvalu,Tuvaluan
230,Tanzania,Tanzanian
231,Uganda,Ugandan
232,Ukraine,Ukrainian
234,Uruguay,Uruguayan
235,United States,American
236,Uzbekistan,Uzbekistani
237,Vatican City,Vatican
238,Saint Vincent and the Grenadines,Saint Vincentian
239,Venezuela,Venezuelan
242,Vietnam,Vietnamese
243,Vanuatu,Ni-Vanuatu
245,Samoa,Samoan
246,Yemen,Yemeni
247,South Africa,South African
248,Zambia,Zambian
249,Zimbabwe,Zimbabwean
