Country in English,Country in Spanish,Demonym*/Adjective,spa_m,spa_n
Afghanistan,Afganistán,afgano/-na,afgano,
Albania,Albania,albanés/-sa,albanés,
Algeria,Argelia,argelino/-na,argelino,
Andorra,Andorra,andorrano/-na,andorrano,
Angola,Angola,angoleño/-ña,angoleño,
Antigua and Barbuda,Antigua y Barbuda,antiguano/-na,antiguano,
Argentina,Argentina,argentino/-na,argentino,
Armenia,Armenia,armenio/-nia,armenio,
Australia,Australia,australiano/-na,australiano,
Austria,Austria,austriaco/-ca,austriaco,
Azerbaijan,Azerbaiyán,azerbaiyano/-na,azerbaiyano,
Bahamas,Bahamas,bahameño/-ña,bahameño,
Bahrain,Baréin,bareiní,,bareiní
Bangladesh,Bangladés,bangladesí,,bangladesí
Barbados,Barbados,barbadense,,barbadense
Belarus,Bielorrusia,bielorruso/-sa,bielorruso,
Belgium,Bélgica,belga,,belga
Belize,Belice,beliceño/-ña,beliceño,
Benin,Benín,beninés/-sa,beninés,
Bhutan,Bután,butanés/-sa,butanés,
"Bolivia, Plurinational State of","Bolivia, (Estado Plurinacional de)",boliviano/-na,boliviano,
Bosnia and Herzegovina,Bosnia y Herzegovina,bosnioherzegovino/-na,bosnioherzegovino,
Botswana,Botsuana,botsuano/-na,botsuano,
Brazil,Brasil,brasileño/-ña,brasileño,
Brunei,Brunéi,bruneano/-na,bruneano,
Bulgaria,Bulgaria,búlgaro/-ra,búlgaro,
Burkina Faso,Burkina Faso,burkinés/-sa,burkinés,
Burma/Myanmar,Myanmar/Birmania,de Myanmar/Birmania,,de Myanmar/Birmania
Burundi,Burundi,burundés/-sa,burundés,
Cabo Verde,Cabo Verde,caboverdiano/-na,caboverdiano,
Cambodia,Camboya,camboyano/-na,camboyano,
Cameroon,Camerún,camerunés/-sa,camerunés,
Canada,Canadá,canadiense,,canadiense
Central African Republic,República Centroafricana,centroafricano/-na,centroafricano,
Chad,Chad,chadiano/-na,chadiano,
Chile,Chile,chileno/-na,chileno,
China,China,chino/-na,chino,
Colombia,Colombia,colombiano/-na,colombiano,
Comoros,Comoras,comorense,,comorense
Congo,Congo,congoleño/-ña,congoleño,
Costa Rica,Costa Rica,costarricense,,costarricense
Côte d'Ivoire,Costa de Marfil,costamarfileño/-ña,costamarfileño,
Croatia,Croacia,croata,,croata
Cuba,Cuba,cubano/-na,cubano,
Cyprus,Chipre,chipriota,,chipriota
Czech Republic,"República Checa, Chequia",checo/-ca,checo,
Denmark,Dinamarca,danés/-sa,danés,
Djibouti,Djibouti,Yibutiano/-na,Yibutiano,
Dominican Republic,República Dominicana,dominicano/-na,dominicano,
Dominican Republic,Dominica,dominiqués/-sa,dominiqués,
Ecuador,Ecuador,ecuatoriano/-na,ecuatoriano,
Egypt,"Egipto, (República Árabe de)",egipcio/-cia,egipcio,
El Salvador,El Salvador,salvadoreño/-na,salvadoreño,
England,Inglaterra,inglés/-sa,inglés,
Equatorial Guinea,Guinea Ecuatorial,ecuatoguineano/-na,ecuatoguineano,
Eritrea,Eritrea,eritreo/-a,eritreo,
Estonia,Estonia,estonio/-na,estonio,
Eswatini,Esuatini,esuatiní,,esuatiní
Ethiopia,Etiopía,etíope,,etíope
Falkland Islands,Islas Malvinas,malvinense,,malvinense
Faroe Islands,Islas Feroe,feroés/-sa,feroés,
Federated States of Micronesia,Micronesia (Estados Federados de),micronesio/-sia,micronesio,
Fiji,Fiyi,fiyiano/-na,fiyiano,
Finland,Finlandia,finlandés/-sa,finlandés,
France,Francia,francés/-sa,francés,
Gabon,Gabón,gabonés/-sa,gabonés,
Georgia,Georgia,georgiano/-na,georgiano,
Germany,Alemania,alemán/-na,alemán,
Ghana,Ghana,ghanés/-sa,ghanés,
Granada,Granada,granadino/-na,granadino,
Great Britain,Gran Bretaña,británico/-ca,británico,
Greece,Grecia,griego/-ga,griego,
Greenland,Groenlandia,groenlandés/-sa,groenlandés,
Guatemala,Guatemala,guatemalteco/-ca,guatemalteco,
Guinea,Guinea,guineano/-na,guineano,
Guinea-Bissau,Guinea-Bisáu,de Guinea-Bisáu,,de Guinea-Bisáu
Guyana,Guyana,guyanés/-sa,guyanés,
Haiti,Haití,haitiano/-na,haitiano,
Honduras,Honduras,hondureño/-ña,hondureño,
Hong Kong,Hong Kong,hongkonés/-sa,hongkonés,
Hungary,Hungría,húngaro/-ra,húngaro,
Iceland,Islandia,islandés/-sa,islandés,
India,India,indio/-dia,indio,
Indonesia,Indonesia,indonesio/-sia,indonesio,
Iran (Islamic Republic of),"Irán, (República Islámica del)",iraní,,iraní
Iraq,Irak,iraquí,,iraquí
Ireland,Irlanda,irlandés/-sa,irlandés,
Israel,Israel,israelí,,israelí
Italy,Italia,italiano/-na,italiano,
Jamaica,Jamaica,jamaicano/-na,jamaicano,
Japan,Japón,japonés/-sa,japonés,
Jordan,Jordania,jordano/-na,jordano,
Kazakhstan,Kazajistán,kazajo/-ja,kazajo,
Kenya,Kenia,keniata,,keniata
Kiribati,Kiribati,kiribatiano/-na,kiribatiano,
Kosovo (Republic of),"Kosovo, (República de)",kosovar,,kosovar
Kuwait,Kuwait,kuwaití,,kuwaití
Kyrgyzstan,Kirguistán,kirguís,,kirguís
Lao People’s Democratic Republic,Laos,laosiano/-na,laosiano,
Latvia,Letonia,letón/-na,letón,
Lebanon,Líbano,libanés/-sa,libanés,
Lesotho,Lesoto,lesotense,,lesotense
Liberia,Liberia,liberiano/-na,liberiano,
Libya,Libia,libio/-bia,libio,
Liechtenstein,Liechtenstein,liechtensteiniano/-na,liechtensteiniano,
Lithuania,Lituania,lituano/-na,lituano,
Luxembourg,Luxemburgo,luxemburgués/-sa,luxemburgués,
Macau,Macao,macaense,,macaense
Madagascar,Madagascar,malgache,,malgache
Malawi,Malaui,malauí,,malauí
Malaysia,Malasia,malasio/-sia,malasio,
Maldives,Maldivas,maldivo/-va,maldivo,
Mali,Mali,malí,,malí
Malta,Malta,maltés/-sa,maltés,
Marshall Islands,Islas Marshall,marshalés/-sa,marshalés,
Mauritania,Mauritania,mauritano/-na,mauritano,
Mauritius,"Mauricio, (República de)",mauriciano/-na,mauriciano,
Mexico,México,mexicano/-na,mexicano,
